佣兵ID,佣兵名称,稀有度,职业,性格标签,场景类型,台词序号,台词内容,字数,是否重点
H016,杜娅,稀有,狂战士,豪爽女战,MVP,1,姐就是全场最佳！,8,否
H016,杜娅,稀有,狂战士,豪爽女战,战死,1,姐还没喝够呢……,8,否
H017,莉娜,稀有,牧师,虔诚治疗,战斗中,1,圣光啊，请治愈此伤！,10,否
H017,莉娜,稀有,牧师,虔诚治疗,酒馆刷新,1,虔诚牧师，寻求队伍。,10,否
H017,莉娜,稀有,牧师,虔诚治疗,招募成功,1,让我们一起传播光明。,10,否
H017,莉娜,稀有,牧师,虔诚治疗,MVP,1,这是圣光的眷顾。,8,否
H017,莉娜,稀有,牧师,虔诚治疗,战死,1,圣光……为何离我而去……,12,否
H018,布朗,普通,剑盾卫士,吃货坦克,战斗中,1,别碰我的便当！,7,否
H018,布朗,普通,剑盾卫士,吃货坦克,酒馆刷新,1,有管饭的队伍吗？,8,否
H018,布朗,普通,剑盾卫士,吃货坦克,招募成功,1,管饭就行，敌人交给我。,11,否
H018,布朗,普通,剑盾卫士,吃货坦克,MVP,1,打赢了能吃顿好的吗？,10,否
H018,布朗,普通,剑盾卫士,吃货坦克,战死,1,午饭……还没吃呢……,10,否
H019,艾琳,普通,法师,算数法师,战斗中,1,公式算好，可以开火。,10,否
H019,艾琳,普通,法师,算数法师,酒馆刷新,1,法师，附赠心算服务。,10,否
H019,艾琳,普通,法师,算数法师,招募成功,1,我会用数据击败敌人。,10,否
H019,艾琳,普通,法师,算数法师,MVP,1,计算无误，完胜。,8,否
H019,艾琳,普通,法师,算数法师,战死,1,变量……超出预期……,10,否
H020,凯尔,稀有,法师,眼神施压,战斗中,1,看我的眼睛，害怕吗？,10,否
H020,凯尔,稀有,法师,眼神施压,酒馆刷新,1,一个眼神，敌人就怂了。,11,否
H020,凯尔,稀有,法师,眼神施压,招募成功,1,我会用凝视瓦解敌人。,10,否
H020,凯尔,稀有,法师,眼神施压,MVP,1,眼神杀人，诚不欺我。,10,否
H020,凯尔,稀有,法师,眼神施压,战死,1,眼神……不够凶了吗……,11,否
H021,格拉克斯,普通,重武者,重武器憨憨,战斗中,1,大锤八十！小锤四十！,10,否
H021,格拉克斯,普通,重武者,重武器憨憨,酒馆刷新,1,力气大，话不多。,8,否
H021,格拉克斯,普通,重武者,重武器憨憨,招募成功,1,锤子会替你说话。,8,否
H021,格拉克斯,普通,重武者,重武器憨憨,MVP,1,一锤定音！,5,否
H021,格拉克斯,普通,重武者,重武器憨憨,战死,1,锤子……比我还重……,10,否
H022,索尔,稀有,重武者,地震制造者,战斗中,1,感受大地的震颤吧！,9,否
H022,索尔,稀有,重武者,地震制造者,酒馆刷新,1,重武者，擅长制造地震。,11,否
H022,索尔,稀有,重武者,地震制造者,招募成功,1,我会把敌人震上天。,9,否
H022,索尔,稀有,重武者,地震制造者,MVP,1,地震级MVP，感受下。,11,否
H022,索尔,稀有,重武者,地震制造者,战死,1,地面……太软了……,9,否
